Какую основную задачу решает модель на этапе предобучения (pre-training)?,Предсказание следующего токена в последовательности текста.
"Гипотеза «Большого комка вычислений» (Big Blob of Compute Hypothesis) утверждает, что _____.",Универсальный интеллект возникает при подаче огромного объема данных и вычислительных мощностей в общую архитектуру.
В чем заключается основное отличие Mixture of Experts (MoE) от плотных (dense) моделей?,"В MoE для обработки каждого токена активируется только подмножество параметров («экспертов»), а не вся сеть."
Термин: Роутер (Router) в архитектуре MoE.,"Определение: Компонент, выбирающий наиболее подходящих «экспертов» для обработки конкретного входного токена."
"Как называются модели, веса которых доступны для скачивания и локального запуска?",Модели с открытыми весами (Open-weight models).
Какова главная цель этапа промежуточного обучения (mid-training)?,"Специализация модели, например, на длинном контексте или специфических типах данных после основного предобучения."
Что такое «катастрофическое забывание» (catastrophic forgetting) в контексте нейросетей?,Потеря моделью ранее усвоенных знаний или навыков при обучении на новых данных.
Термин: RLHF.,Определение: Обучение с подкреплением на основе отзывов людей для настройки стиля и полезности ответов.
Какую роль в постобучении играет SFT (Supervised Fine-Tuning)?,Обучение модели имитировать высококачественные диалоги или следовать инструкциям на основе экспертных примеров.
В чем особенность метода RLVR (Reinforcement Learning with Verifiable Rewards)?,"Модель получает вознаграждение на основе объективно проверяемых результатов, таких как правильный ответ в математике или рабочий код."
Каким образом синтетические данные помогают в предобучении моделей?,Они позволяют перефразировать или структурировать существующую информацию для повышения её качества и усвояемости моделью.
Что описывают «законы масштабирования» (Scaling Laws) в ИИ?,"Математическую зависимость качества модели от объема вычислительной мощности, данных и количества параметров."
Процесс: Дистилляция (Distillation).,Передача знаний от крупной «учительской» модели более компактной «студенческой» модели для ускорения её работы.
Как масштабирование во время вывода (inference-time scaling) влияет на ответы модели?,Оно позволяет модели тратить больше времени и токенов на «размышления» перед выдачей окончательного ответа.
Термин: KV Cache.,Определение: Механизм хранения промежуточных состояний внимания для ускорения генерации последующих токенов.
"Для чего используются форматы квантования, такие как FP8 или FP4?","Для уменьшения объема памяти, занимаемой весами модели, и ускорения вычислений за счет снижения точности чисел."
В чем заключается «Горький урок» (The Bitter Lesson) Ричарда Саттона?,"Общие методы, использующие масштабируемые вычисления, в долгосрочной перспективе всегда побеждают подходы, основанные на специфических человеческих знаниях."
Какую функцию выполняет механизм внимания (Attention) в трансформере?,Определяет степень важности каждого слова в контексте относительно других слов при обработке последовательности.
Что подразумевается под «разреженностью» (sparsity) в Mixture of Experts?,Использование лишь малой части вычислительных ресурсов модели для обработки каждого отдельного входного сигнала.
Термин: Авторегрессионная модель.,"Определение: Модель, генерирующая текст последовательно, где каждый новый токен зависит от всех предыдущих."
Как метод DPO (Direct Preference Optimization) упрощает обучение моделей?,Он позволяет настраивать предпочтения модели напрямую без необходимости обучения отдельной модели вознаграждения.
В чем преимущество использования группового внимания (Group Query Attention)?,"Оно сокращает размер KV-кеша, позволяя обрабатывать более длинный контекст при меньших затратах памяти."
Что такое «галлюцинации» ИИ-модели?,"Генерация фактологически неверной или бессмысленной информации, представленной как истина."
Концепция: Chain of Thought (Цепочка рассуждений).,"Метод, при котором модель описывает промежуточные шаги решения задачи перед выдачей итогового ответа."
Как обучение на «цепочках рассуждений» влияет на вычислительную сложность вывода?,"Оно увеличивает время генерации и стоимость ответа, так как модель создает большее количество промежуточных токенов."
Что такое «загрязнение данных» (data contamination) в оценке моделей?,"Ситуация, когда тестовые задания попадают в обучающую выборку, что приводит к искусственному завышению результатов тестов."
Как изменяется эффективность RLVR по мере усложнения задач?,"Эффективность растет, так как модель может обучаться методом проб и ошибок в областях с четкими критериями успеха."
Термин: Context Window (Окно контекста).,"Определение: Максимальный объем текста, который модель может учитывать одновременно при генерации ответа."
В чем заключается разница между субъективными и объективными вознаграждениями в постобучении?,"Субъективные основаны на вкусах людей (RLHF), объективные — на проверяемых фактах или правилах (RLVR)."
Процесс: Использование инструментов (Tool Use/Function Calling).,"Способность модели вызывать внешние программы, такие как калькулятор или поиск, для решения задач, недоступных чистому тексту."
